Nom table;Identifiant BDD;Donnée obligatoire;Type de donnée;Table de références;Champ récupéré (enum) ;Description
audit_administratif;reference_interne_projet;Parfois;Texte; ; ;référence interne logiciel du projet. Mis en place pour réidentification du projet en cas d'import depuis l'observatoire
audit_administratif;migre_en_utc;X;Booléen; ; ;Indique si les dates de la table ont été migrées au format UTC
audit_administratif;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_apport_et_besoin;besoin_ch;X;Numérique; ; ;besoin de chauffage annuel total du logement ou immeuble (kWh) . Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;apport_interne_ch;X;Numérique; ; ;apports internes totaux durant la saison de chauffe Ai (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;apport_interne_fr;X;Numérique; ; ;apports internes totaux durant la saison de froid Ai (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;apport_solaire_ch;X;Numérique; ; ;apports solaires totaux durant la saison de chauffe As (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;apport_solaire_fr;X;Numérique; ; ;apports solaires totaux durant la saison de froid As (kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;besoin_ecs;X;Numérique; ; ;besoin d'ecs annuel total du bâtiment (kWh). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;besoin_fr;X;Numérique; ; ;besoin de refroidissement annuel (kWh).Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;besoin_ch_depensier;X;Numérique; ; ;besoin de chauffage total du bâtiment pour le scénario dépensier (kWh) (DH21). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;besoin_ecs_depensier;X;Numérique; ; ;besoin d'ecs total du bâtiment pour le scénario dépensier (kWh). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;besoin_fr_depensier;X;Numérique; ; ;besoin de refroidissement annuel pour le scénario dépensier (kWh). Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;fraction_apport_gratuit_ch;X;Numérique; ; ;fraction des apports gratuits sur la saison de chauffe F. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;fraction_apport_gratuit_depensier_ch;X;Numérique; ; ;fraction des apports gratuits sur la saison de chauffe F pour le scénario dépensier (DH21). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_apport_et_besoin;nadeq;X;Numérique; ; ;nombre d'adulte équivalent calculés pour le besoin d'ECS. Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;pertes_distribution_ecs_recup;X;Numérique; ; ;pertes de distribution d'ECS récupérées(kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;pertes_distribution_ecs_recup_depensier;X;Numérique; ; ;pertes de distribution d'ECS récupérées(kWh) pour le scénario dépensier. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;pertes_generateur_ch_recup;X;Numérique; ; ;pertes des générateurs de chauffage récupérées(kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;pertes_generateur_ch_recup_depensier;X;Numérique; ; ;pertes des générateurs de chauffage récupérées(kWh) pour le scénario dépensier. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;pertes_stockage_ecs_recup;X;Numérique; ; ;pertes de stockage d'ECS récupérées(kWh). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;surface_sud_equivalente;X;Numérique; ; ;surface sud équivalente. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_apport_et_besoin;v40_ecs_journalier;X;Numérique; ; ;consommation en l d'ecs à 40°C sur une journée. Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;v40_ecs_journalier_depensier;X;Numérique; ; ;consommation en l d'ecs à 40°C sur une journée scénario dépensier. Pour les DPE immeubles ces données sont à l'immeuble. Pour les dpe appartements à partir de l'immeuble ces données sont à l'appartement
audit_apport_et_besoin;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_auditeur;administratif_id;X; ;audit_administratif; ;Identifiant technique de l'AUDIT
audit_auditeur;usr_logiciel_id;X; ;usr_logiciel; ;identifiant de logiciel audit unique
audit_auditeur;version_logiciel;X;Texte; ; ;version du logiciel utilisé
audit_auditeur;version_moteur_calcul; ;Texte; ; ;version du moteur de calcul utilisé par le logiciel
audit_auditeur;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_baie_ets;description;Parfois;Texte; ; ;description textuelle de l'objet
audit_baie_ets;enum_inclinaison_vitrage_id;X; ;audit_enum_inclinaison_vitrage; ;inclinaison du vitrage
audit_baie_ets;enum_orientation_id;X; ;audit_enum_orientation; ;orientation de la baie
audit_baie_ets;ets_id;X; ;audit_ets; ;Identifiant technique de l'espace tampon solarisé
audit_baie_ets;id;X; ; ; ;Identifiant technique de la baie de l'espace tampon solarisé
audit_baie_ets;nb_baie;X;Numérique; ; ;nombre de baies
audit_baie_ets;reference;X;Texte; ; ;reference projet de l'objet (cette référence permet de faire d'éventuels liens entre objets). La codification et utilisation des références peut différer entre logiciels
audit_baie_ets;surface_totale_baie;X;Numérique; ; ;surface totale de paroi vitrée pour ce type de vitrage et sur cette orientation (nombre de baies x surface unitaire). La surface est la surface de la baie dans son ensemble. (vitrage + menuiserie inclus)
audit_baie_ets;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_baie_vitree;b;X;Numérique; ; ;coefficient de réduction des déperditions de la baie vitrée
audit_baie_vitree;description;Parfois;Texte; ; ;description textuelle de l'objet
audit_baie_vitree;double_fenetre;X;Booléen; ; ;est ce qu'il s'agit d'une double fenetre. DANS LE CAS D'UNE DOUBLE FENETRE LES DONNEES DU MODELE SONT FOURNIES POUR LE VITRAGE LE PLUS PERFORMANT OU POUR LA BAIE DANS SON ENSEMBLE A L'EXCEPTION DE Uw2 ET Sw2 QUI SONT LES CARACTERISTIQUES DU DEUXIEME VITRAGE (le moins performant) 0 : non 1 : oui
audit_baie_vitree;enum_cfg_isolation_lnc_id; ; ;audit_enum_cfg_isolation_lnc; ;configuration de l'adjacence avec local non chauffé : local chauffé (non) isolé/local non chauffé (non) isolé/orientation véranda qui permet de calculer le b
audit_baie_vitree;enum_etat_composant_id;X; ;audit_enum_etat_composant;lib;indique si le composant a été changé par rapport au logement initial
audit_baie_vitree;enum_inclinaison_vitrage_id;X; ;audit_enum_inclinaison_vitrage; ;inclinaison du vitrage
audit_baie_vitree;enum_methode_saisie_perf_vitrage_id;X; ;audit_enum_methode_saisie_perf_vitrage; ;methode de saisie des caractéristiques thermiques des vitrage (valeurs forfaitaires ou saisies en direct lorsque issu d'un justificatif)
audit_baie_vitree;enum_orientation_id;X; ;audit_enum_orientation; ;orientation de la baie
audit_baie_vitree;enum_type_adjacence_id;X; ;audit_enum_type_adjacence; ;type d'adjacence de la paroi
audit_baie_vitree;enum_type_baie_id;X; ;audit_enum_type_baie;lib;type de baie
audit_baie_vitree;enum_type_fermeture_id;X; ;audit_enum_type_fermeture; ;type de fermeture associé à la baie (volets/persiennes etc..)
audit_baie_vitree;enum_type_gaz_lame_id; ; ;audit_enum_type_gaz_lame; ;type de gaz présent dans la lame
audit_baie_vitree;enum_type_materiaux_menuiserie_id;X; ;audit_enum_type_materiaux_menuiserie; ;type de matériaux des menuiseries
audit_baie_vitree;enum_type_pose_id;X; ;audit_enum_type_pose; ;type de pose de la baie
audit_baie_vitree;enum_type_vitrage_id;X; ;audit_enum_type_vitrage;lib;type de vitrage
audit_baie_vitree;epaisseur_lame; ;Numérique; ; ;epaisseur de la lame
audit_baie_vitree;fe1;X;Numérique; ; ;fe1 facteur d'ensoleillement calculé à partir de la table sur les masques proches
audit_baie_vitree;fe2;X;Numérique; ; ;fe2 facteur d'ensoleillement calculé soit à l'aide de la méthode masque lointain homogène ou méthode des masques lointains proches
audit_baie_vitree;id;X; ; ; ;Identifiant technique de la baie vitrée
audit_baie_vitree;largeur_dormant;X;Numérique; ; ;largeur du dormant de la baie (cm)
audit_baie_vitree;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_baie_vitree;nb_baie;X;Numérique; ; ;nombre de baies
audit_baie_vitree;presence_joint;X; ; ; ;y a-t-il présence de joints sur la baie (utilisé pour le calcul de la perméabilité) 0 : non 1 : oui
audit_baie_vitree;presence_protection_solaire_hors_fermeture;X; ; ; ;y a-t-il une protection solaire qui n'est pas considérée comme une fermeture (R=0 pour le calcul de Ujn) mais qui est prise en compte pour le calcul du confort d'été.
audit_baie_vitree;presence_retour_isolation;X;Booléen; ; ;y a-t-il un retour d'isolant de la paroi opaque sur la baie 0 : non 1 : oui
audit_baie_vitree;reference;X;Texte; ; ;reference projet de l'objet (cette référence permet de faire d'éventuels liens entre objets). La codification et utilisation des références peut différer entre logiciels
audit_baie_vitree;reference_lnc; ;Texte; ; ;reference projet de l'objet local non chauffé qui peut être associé à la paroi . Dans le cas d'un espace tampon solarisé cette référence est celle de l'espace tampon.
audit_baie_vitree;reference_paroi; ;Texte; ; ;reference projet de l'objet paroi qui est associé à l'objet baie vitrée. La codification et utilisation des références peut différer entre logiciels mais il devrait être attendu que reference_paroi est la référence d'une paroi de type mur,plancher_haut ou plancher_bas
audit_baie_vitree;surface_aiu; ;Numérique; ; ;surface aiu : surface des parois du local non chauffé qui donnent sur des locaux chauffés.
audit_baie_vitree;surface_aue; ;Numérique; ; ;surface aue : surface des parois du local non chauffé en contact avec l'extérieur ou le sol
audit_baie_vitree;surface_totale_baie;X;Numérique; ; ;surface totale de paroi vitrée pour ce type de vitrage et sur cette orientation (nombre de baies x surface unitaire). La surface est la surface de la baie dans son ensemble. (vitrage + menuiserie inclus)
audit_baie_vitree;sw;X;Numérique; ; ;sw final de la baie: soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree;sw_1; ;Numérique; ; ;"Sw de la première fenêtre dans le cas d'une double fenêtre (par défaut la première fenêtre est toujours celle avec le Uw le plus élevé -&gt; plus performante)"
audit_baie_vitree;sw_2; ;Numérique; ; ;"Sw de la deuxième fenêtre dans le cas d'une double fenêtre (par défaut la deuxième fenêtre est toujours celle avec le Uw le plus faible -&gt; moins performante)"
audit_baie_vitree;sw_saisi; ;Numérique; ; ;facteur solaire de la baie saisi directement (nécessite une justification)
audit_baie_vitree;tv_coef_masque_lointain_homogene_id;Parfois; ;audit_tv_coef_masque_lointain_homogene; ;id de la ligne de la table utilisée pour le calcul du coefficient de masque homogène lointain
audit_baie_vitree;tv_coef_masque_proche_id;X; ;audit_tv_coef_masque_proche; ;id de la ligne de la table utilisée pour le calcul du coefficent de masque proche
audit_baie_vitree;tv_coef_reduction_deperdition_id; ; ;audit_tv_coef_reduction_deperdition; ;id de la ligne de la table utilisée pour le calcul du coefficient de reduction des deperditions
audit_baie_vitree;tv_deltar_id; ; ;audit_tv_deltar; ;id de la ligne de la table utilisée pour le calcul du delta de resistance de la protection mobile. (volets persienne etc..)
audit_baie_vitree;tv_sw_id; ; ;audit_tv_sw; ;id de la ligne de la table utilisée pour le calcul du facteur solaire de la baie sw
audit_baie_vitree;tv_ug_id; ; ;audit_tv_ug; ;id de la ligne de la table utilisée pour le calcul du coefficent de transmission thermique du vitrage ug
audit_baie_vitree;tv_ujn_id; ; ;audit_tv_ujn; ;id de la ligne de la table utilisée pour le calcul du coefficient de transmissiion de la baie jour/nuit Ujn. Dans le cas d'une interpolation/extrapolation prendre la valeur tabulée la plus proche
audit_baie_vitree;tv_uw_id; ; ;audit_tv_uw; ;id de la ligne de la table utilisée pour le calcul du coefficent de transmission thermique de la baie uw. Dans le cas d'une interpolation/extrapolation prendre la valeur tabulée la plus proche
audit_baie_vitree;u_menuiserie;X;Numérique; ; ;U final de la menuiserie utilisé dans le calcul : soit Ujn dans le cas d'une baie avec protection solaire soit Uw dans le cas d'une baie sans protection solaire
audit_baie_vitree;ug; ;Numérique; ; ;Ug final de la baie : soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree;ug_saisi; ;Numérique; ; ;coefficient de transmission thermique du vitrage saisi directement (nécessite une justification)
audit_baie_vitree;ujn; ;Numérique; ; ;Ujn final de la baie : soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree;ujn_saisi; ;Numérique; ; ;coefficient de transmission thermique de la baie avec ses protection solaires saisi directement (nécessite une justification)
audit_baie_vitree;uw;X;Numérique; ; ;Uw final de la baie : soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree;uw_1; ;Numérique; ; ;"Uw de la première fenêtre dans le cas d'une double fenêtre (par défaut la première fenêtre est toujours celle avec le Uw le plus élevé -&gt; plus performante)"
audit_baie_vitree;uw_2; ;Numérique; ; ;"Uw de la deuxième fenêtre dans le cas d'une double fenêtre (par défaut la deuxième fenêtre est toujours celle avec le Uw le plus faible -&gt; moins performante)"
audit_baie_vitree;uw_saisi; ;Numérique; ; ;coefficient de transmission thermique de la baie saisi directement (nécessite une justification)
audit_baie_vitree;vitrage_vir; ;Booléen; ; ;est ce que le vitrage est à isolation renforcée 0 : non 1 : oui
audit_baie_vitree;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_baie_vitree_double_fenetre;baie_vitree_id; ; ;audit_baie_vitree; ;Identifiant technique de la baie vitrée
audit_baie_vitree_double_fenetre;enum_inclinaison_vitrage_id;X; ;audit_enum_inclinaison_vitrage; ;inclinaison du vitrage
audit_baie_vitree_double_fenetre;enum_methode_saisie_perf_vitrage_id;X; ;audit_enum_methode_saisie_perf_vitrage; ;methode de saisie des caractéristiques thermiques des vitrage (valeurs forfaitaires ou saisies en direct lorsque issu d'un justificatif)
audit_baie_vitree_double_fenetre;enum_type_baie_id;X; ;audit_enum_type_baie;lib;type de baie
audit_baie_vitree_double_fenetre;enum_type_gaz_lame_id; ; ;audit_enum_type_gaz_lame; ;type de gaz présent dans la lame
audit_baie_vitree_double_fenetre;enum_type_materiaux_menuiserie_id;X; ;audit_enum_type_materiaux_menuiserie; ;type de matériaux des menuiseries
audit_baie_vitree_double_fenetre;enum_type_pose_id;X; ;audit_enum_type_pose; ;type de pose de la baie
audit_baie_vitree_double_fenetre;enum_type_vitrage_id;X; ;audit_enum_type_vitrage;lib;type de vitrage
audit_baie_vitree_double_fenetre;epaisseur_lame; ; ; ; ;epaisseur de la lame
audit_baie_vitree_double_fenetre;sw;X; ; ; ;sw final de la baie: soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree_double_fenetre;sw_saisi; ; ; ; ;facteur solaire de la baie saisi directement (nécessite une justification)
audit_baie_vitree_double_fenetre;tv_sw_id; ; ;audit_tv_sw; ;id de la ligne de la table utilisée pour le calcul du facteur solaire de la baie sw
audit_baie_vitree_double_fenetre;tv_ug_id;Parfois; ;audit_tv_ug; ;id de la ligne de la table utilisée pour le calcul du coefficent de transmission thermique du vitrage ug
audit_baie_vitree_double_fenetre;tv_uw_id; ; ;audit_tv_uw; ;id de la ligne de la table utilisée pour le calcul du coefficent de transmission thermique de la baie uw. Dans le cas d'une interpolation/extrapolation prendre la valeur tabulée la plus proche
audit_baie_vitree_double_fenetre;ug;Parfois; ; ; ;Ug final de la baie : soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree_double_fenetre;ug_saisi; ; ; ; ;coefficient de transmission thermique du vitrage saisi directement (nécessite une justification)
audit_baie_vitree_double_fenetre;uw;X; ; ; ;Uw final de la baie : soit saisi directement soit issu des tables forfaitaires
audit_baie_vitree_double_fenetre;uw_saisi; ; ; ; ;coefficient de transmission thermique de la baie saisi directement (nécessite une justification)
audit_baie_vitree_double_fenetre;vitrage_vir; ; ; ; ;est ce que le vitrage est à isolation renforcée 0 : non 1 : oui
audit_baie_vitree_double_fenetre;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_baie_vitree_masque;baie_vitree_id;X; ;audit_baie_vitree; ;Identifiant technique baie vitrée
audit_baie_vitree_masque;masque_id;X; ;audit_masque; ;Identifiant technique masque
audit_baie_vitree_masque;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_ballon_ecs_effet_joule;caracteristiques_travaux_id;X; ;audit_caracteristiques_travaux; ;Identifiant technique des caractéristiques travaux
audit_ballon_ecs_effet_joule;volume_stockage;X;Numérique; ; ;volume de stockage du ballon d'ECS (en litres)
audit_ballon_ecs_effet_joule;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_caracteristiques_travaux;travaux_id;X; ;audit_travaux; ;Identifiant technique des travaux
audit_caracteristiques_travaux;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_chauffe_eau_thermodynamique;caracteristiques_travaux_id;X; ;audit_caracteristiques_travaux; ;Identifiant technique des caractéristiques travaux
audit_chauffe_eau_thermodynamique;cop;X;Numérique; ; ;COP du chauffe-eau thermodynamique
audit_chauffe_eau_thermodynamique;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_climatisation;conso_fr;X;Numérique; ; ;consommation de refroidissement annuel (kWh). Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est la consommation de l'installation à l'immeuble qu'il faut saisir.
audit_climatisation;enum_etat_composant_id;X; ;audit_enum_etat_composant;lib;indique si le composant a été changé par rapport au logement initial
audit_climatisation;enum_periode_installation_fr_id;X; ;audit_enum_periode_installation_fr;lib;période d'installation du système de refroidissement
audit_climatisation;surface_clim;X;Numérique; ; ;surface climatisée : si le logement n'est pas climatisé dans son ensemble la surface climatisée peut être inférieure à la surface totale du logement.Dans le cas spécifique d'un DPE immeuble avec installation individuelle échantillonée :saisir la surface climatisée par la totalité des logements représentés par le logement moyen surface_clim = Shmoy*Nblgt. Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est la surface de l'installation à l'immeuble qu'il faut renseigner
audit_climatisation;enum_type_energie_id; ; ;audit_enum_type_energie;lib;type d'énergie consommée par le générateur de froid
audit_climatisation;enum_type_generateur_fr_id;X; ;audit_enum_type_generateur_fr;lib;type de générateur de froid
audit_climatisation;besoin_fr;X;Numérique; ; ;besoin de refroidissement annuel. Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est le besoin de l'installation à l'immeuble qu'il faut saisir.
audit_climatisation;cle_repartition_clim; ;Numérique; ; ;clé de répartition pour passer des consommations bâtiments au consommation logement dans le cas DPE appartement calculé à partir du DPE immeuble UNIQUEMENT. Voir section 8.5.4 du document guide pour plus de détail.
audit_climatisation;conso_fr_depensier;X;Numérique; ; ;consommation de refroidissement annuel pour le scénario dépensier (kWh) . Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est la consommation de l'installation à l'immeuble qu'il faut saisir.
audit_climatisation;description;Parfois;Texte; ; ;description textuelle de l'objet
audit_climatisation;eer;X;Numérique; ; ;coefficient d'efficience energétique du système de climatisation final (SEER *0,95)
audit_climatisation;enum_methode_calcul_conso_id;X; ;audit_enum_methode_calcul_conso; ;méthode de calcul de consommation de froid : simple, ou cas particuliers installation collective virtualisée ou installation individuelle échantilonnée (dpe immeuble)
audit_climatisation;enum_methode_saisie_carac_sys_id;X; ;audit_enum_methode_saisie_carac_sys; ;methode de saisie du seer : lecture de table forfaitaire ou saisie justifiée
audit_climatisation;id;X; ; ; ;Identifiant technique de la climatisation
audit_climatisation;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_climatisation;nombre_logement_echantillon; ;Numérique; ; ;nombre de logements représentés par le logement échantillon dans le cas d'un DPE immeuble avec installation de climatisation individuelle. (à ne renseigner que dans ce cas précis)
audit_climatisation;ref_produit_fr; ;Texte; ; ;référence produit et marque du générateur de froid
audit_climatisation;reference;X;Texte; ; ;reference projet de l'objet (cette référence permet de faire d'éventuels liens entre objets). La codification et utilisation des références peut différer entre logiciels
audit_climatisation;tv_seer_id; ; ;audit_tv_seer; ;id de la ligne de la table utilisée pour le calcul du coefficient d'efficience énergétique du système de climatisation seer
audit_climatisation;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_confort_ete;enum_indicateur_confort_ete_id;X; ;audit_enum_indicateur_confort_ete;lib;indicateur confort été (bon moyen ou mauvais)
audit_confort_ete;inertie_lourde;X;Booléen; ; ;est ce que le logement possède une inerte lourde ou très lourde 0 : non 1 : oui
audit_confort_ete;isolation_toiture; ;Booléen; ; ;as-t-on une isolation de toiture 0 : non 1 : oui
audit_confort_ete;aspect_traversant; ;Booléen; ; ;est ce que le logement est traversant 0 : non 1 : oui
audit_confort_ete;brasseur_air; ;Booléen; ; ;est ce que le logement est équipé de brasseurs d'air 0 : non 1 : oui
audit_confort_ete;protection_solaire_exterieure;X;Booléen; ; ;as-t-on une protection solair exteriaire sur les facades vitrées (exception nord) 0 : non 1 : oui
audit_confort_ete;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_confort_ete;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_cout;cout_5_usages;X;Numérique; ; ;coût totale 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires) (déduit de la production pv autoconsommée) (€)
audit_cout;cout_total_auxiliaire;X;Numérique; ; ;coût des auxilliaires de l'ensemble des auxiliaires (déduit de la production pv autoconsommée) (€)
audit_cout;cout_ch;X;Numérique; ; ;coût de chauffage(déduit de la production pv autoconsommée) (€)
audit_cout;cout_eclairage;X;Numérique; ; ;coût des eclairage (déduit de la production pv autoconsommée) (€)
audit_cout;cout_ecs;X;Numérique; ; ;coût de l'ECS (déduit de la production pv autoconsommée) (€)
audit_cout;cout_fr;X;Numérique; ; ;coût de refroidissement annuel (déduit de la production pv autoconsommée) (€)
audit_cout;cout_auxiliaire_distribution_ch;X;Numérique; ; ;coût des auxilliaires de distribution de chauffage (€)
audit_cout;cout_auxiliaire_distribution_ecs;X;Numérique; ; ;coût des auxilliaires de distribution de l'ECS (€)
audit_cout;cout_auxiliaire_distribution_fr; ;Numérique; ; ;coût des auxilliaires de distribution de froid (€) SUPPRIME
audit_cout;cout_auxiliaire_generation_ch;X;Numérique; ; ;coût des auxilliaires de génération de chauffage (€)
audit_cout;cout_auxiliaire_generation_ch_depensier;X;Numérique; ; ;coût des auxilliaires de génération de chauffage pour le scénario dépensier (€)
audit_cout;cout_auxiliaire_generation_ecs;X;Numérique; ; ;coût des auxillaires de generation de l'ECS (€)
audit_cout;cout_auxiliaire_generation_ecs_depensier;X;Numérique; ; ;coût des auxillaires de generation de l'ECS pour le scénario dépensier (€)
audit_cout;cout_auxiliaire_ventilation;X;Numérique; ; ;coût des auxilliaires de ventilation (€)
audit_cout;cout_ch_depensier;X;Numérique; ; ;coût de chauffage pour le scénario dépensier (déduit de la production pv autoconsommée) (€)
audit_cout;cout_ecs_depensier;X;Numérique; ; ;coût de l'ECS pour le scénario dépensier (déduit de la production pv autoconsommée) (€)
audit_cout;cout_fr_depensier;X;Numérique; ; ;coût de refroidissement pour le scénario dépensier (déduit de la production pv autoconsommée) (€)
audit_cout;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_cout;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_deperdition;deperdition_baie_vitree;X;Numérique; ; ;deperditions par les baies vitrées (W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;deperdition_enveloppe;X;Numérique; ; ;deperditions par l'enveloppe (GV). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;deperdition_mur;X;Numérique; ; ;deperditions par les murs(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;deperdition_plancher_bas;X;Numérique; ; ;deperditions par les planchers bas(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;deperdition_plancher_haut;X;Numérique; ; ;deperditions par les planchers hauts(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
